OrderID,OrderDate,CustomerID,CustomerName,Region,City,Category,SubCategory,Sales,Quantity,Discount,Profit,PaymentMode,ReturnFlag,Rating
20036,02-06-2024,CUST2035,Emma Davis,South,Bengaluru,Vegetables,Potatoes,447,7,0.2,71.52,Cash,No,3
20037,02-06-2024,CUST2036,Emma Davis,South,Chennai,Beverages,Juice,491,12,0.13,37.11,Cash,No,5
20038,02-06-2024,CUST2037,Isabella Taylor,North,Chandigarh,Dairy,Paneer,1241,15,0.11,229.95,Cash,No,5
20039,02-06-2024,CUST2038,Liam Harris,East,Patna,Dairy,Butter,1184,19,0.16,181.02,UPI,Yes,4
20040,02-06-2024,CUST2039,Ethan Hall,South,Bengaluru,Dairy,Milk,401,6,0.13,72.53,Card,No,4
20041,02-06-2024,CUST2040,Sophia Johnson,East,Bhubaneswar,Beverages,Coffee,359,15,0.19,36.62,Card,No,5
20042,02-06-2024,CUST2041,James White,South,Bengaluru,Beverages,Tea,1822,5,0.2,155.62,UPI,Yes,4
20043,02-06-2024,CUST2042,David Kim,North,Chandigarh,Fruits,Grapes,1481,14,0.09,178.89,UPI,No,5
20044,02-06-2024,CUST2043,Amelia Scott,East,Kolkata,Vegetables,Onions,810,15,0.01,155.46,Wallet,Yes,2
20045,02-06-2024,CUST2044,Liam Harris,West,Pune,Bakery,Cake,488,3,0,35.97,Cash,Yes,5
20046,02-06-2024,CUST2045,Liam Harris,South,Hyderabad,Fruits,Grapes,1751,4,0.12,-6.99,Wallet,Yes,4
20047,02-06-2024,CUST2046,Benjamin Evans,West,Ahmedabad,Dairy,Butter,151,4,0.1,19.36,Cash,No,5
20048,02-06-2024,CUST2047,Olivia Martinez,East,Bhubaneswar,Fruits,Mangoes,910,12,0.08,212.9,Card,Yes,4
20049,03-06-2024,CUST2048,Sophia Johnson,South,Chennai,Vegetables,Tomatoes,1134,11,0.15,-48.29,Card,No,4
20050,03-06-2024,CUST2049,Amelia Scott,West,Pune,Snacks,Biscuits,831,13,0.18,183.46,Wallet,Yes,5
20051,03-06-2024,CUST2050,Michael Lee,North,Lucknow,Vegetables,Onions,1516,8,0.03,339.83,Card,No,1
20052,03-06-2024,CUST2051,Noah Young,North,Lucknow,Fruits,Grapes,462,7,0.04,-11.59,Card,No,3
20053,03-06-2024,CUST2052,Isabella Taylor,South,Bengaluru,Bakery,Cake,246,1,0.19,-9.92,Cash,Yes,2
20054,03-06-2024,CUST2053,Olivia Martinez,South,Hyderabad,Fruits,Grapes,1864,12,0.18,442.89,Cash,No,2
20055,03-06-2024,CUST2054,James White,North,Delhi,Bakery,Bread,1851,7,0.14,185.35,Card,No,4
20056,03-06-2024,CUST2055,David Kim,East,Patna,Dairy,Paneer,397,5,0.03,61.13,UPI,No,2
20057,03-06-2024,CUST2056,Charlotte Adams,East,Bhubaneswar,Dairy,Yogurt,1526,12,0.19,106.68,Cash,No,5
20058,03-06-2024,CUST2057,Isabella Taylor,East,Bhubaneswar,Beverages,Water,1967,4,0.12,444.47,Card,Yes,5
20059,03-06-2024,CUST2058,Mia Walker,South,Bengaluru,Vegetables,Potatoes,107,8,0.03,17.96,Card,Yes,5
20060,03-06-2024,CUST2059,Olivia Martinez,West,Ahmedabad,Bakery,Cake,821,13,0.09,28.54,Card,Yes,5
20061,03-06-2024,CUST2060,Daniel Wilson,East,Kolkata,Vegetables,Tomatoes,679,2,0,151.42,Card,No,5
20062,03-06-2024,CUST2061,Charlotte Adams,West,Ahmedabad,Vegetables,Tomatoes,778,7,0.05,134.77,Wallet,Yes,5
20063,03-06-2024,CUST2062,Daniel Wilson,North,Delhi,Beverages,Soft Drink,1434,10,0.15,42.07,Card,Yes,3
20064,03-06-2024,CUST2063,Lucas Green,North,Chandigarh,Vegetables,Tomatoes,324,5,0.13,45.4,Wallet,No,5
20065,03-06-2024,CUST2064,Sophia Johnson,West,Ahmedabad,Fruits,Mangoes,390,5,0.05,65.9,Card,Yes,5
20066,03-06-2024,CUST2065,Ethan Hall,East,Patna,Bakery,Bread,1408,11,0.09,52.62,UPI,No,4
20067,03-06-2024,CUST2066,John Smith,North,Delhi,Dairy,Butter,303,6,0.02,51.05,UPI,Yes,5
20068,03-06-2024,CUST2067,Alice Brown,South,Hyderabad,Bakery,Cake,1581,8,0.12,97.43,Wallet,No,3
20069,03-06-2024,CUST2068,Noah Young,North,Delhi,Snacks,Biscuits,291,19,0.15,23.49,UPI,Yes,5
20070,03-06-2024,CUST2069,Mia Walker,North,Delhi,Bakery,Cookies,526,3,0.11,-11.04,Wallet,No,1
20071,03-06-2024,CUST2070,Alice Brown,East,Bhubaneswar,Fruits,Oranges,1726,11,0.02,425.49,UPI,No,3
20072,03-06-2024,CUST2071,James White,North,Lucknow,Bakery,Donuts,992,14,0,-47.9,Wallet,Yes,5
20073,04-06-2024,CUST2072,Emma Davis,East,Kolkata,Beverages,Coffee,1809,18,0.13,177.14,Card,Yes,5
20074,04-06-2024,CUST2073,Sophia Johnson,South,Hyderabad,Fruits,Oranges,1964,15,0.15,-98.08,Card,Yes,3
20075,04-06-2024,CUST2074,James White,South,Chennai,Snacks,Biscuits,758,16,0.07,35.96,Card,No,3
20076,04-06-2024,CUST2075,Mason Lewis,East,Bhubaneswar,Dairy,Cheese,1455,20,0.14,190.8,Cash,No,3
20077,04-06-2024,CUST2076,Sophia Johnson,South,Chennai,Fruits,Oranges,1248,4,0.01,180.25,Cash,Yes,3
20078,04-06-2024,CUST2077,Noah Young,West,Mumbai,Fruits,Grapes,1159,17,0.07,251.98,Wallet,No,5
20079,04-06-2024,CUST2078,Mason Lewis,North,Lucknow,Snacks,Popcorn,497,10,0.02,68.12,Card,No,5
20080,04-06-2024,CUST2079,Charlotte Adams,South,Hyderabad,Bakery,Pastry,1388,12,0.14,151.66,Cash,Yes,5
20081,04-06-2024,CUST2080,Emma Davis,South,Hyderabad,Vegetables,Spinach,1024,14,0.05,106.34,Cash,Yes,2
20082,04-06-2024,CUST2081,Mason Lewis,South,Chennai,Beverages,Juice,908,13,0.08,67.33,Wallet,No,4
20083,04-06-2024,CUST2082,James White,East,Bhubaneswar,Fruits,Apples,1895,15,0.19,390.89,UPI,Yes,5
20084,04-06-2024,CUST2083,James White,West,Pune,Bakery,Cake,578,9,0.11,11.59,UPI,Yes,5
20085,04-06-2024,CUST2084,Michael Lee,East,Bhubaneswar,Dairy,Butter,1427,17,0.15,44.13,Cash,Yes,5
20086,04-06-2024,CUST2085,Isabella Taylor,East,Patna,Snacks,Popcorn,318,19,0,75.43,Wallet,Yes,5
20087,04-06-2024,CUST2086,Mia Walker,North,Lucknow,Beverages,Water,1474,10,0.06,201.67,Cash,No,3
20088,04-06-2024,CUST2087,Benjamin Evans,North,Lucknow,Dairy,Butter,1203,11,0.14,287.3,Wallet,No,4
20089,04-06-2024,CUST2088,Amelia Scott,South,Bengaluru,Bakery,Pastry,35,20,0,2.55,Wallet,No,2
20090,04-06-2024,CUST2089,Ava Clark,South,Chennai,Bakery,Cake,120,15,0.05,-0.17,UPI,No,4
20091,04-06-2024,CUST2090,Isabella Taylor,West,Mumbai,Snacks,Nuts,1967,8,0.09,482.07,Wallet,Yes,5
20092,04-06-2024,CUST2091,Ava Clark,West,Pune,Bakery,Cookies,1711,20,0.09,266.78,Card,No,3
20093,04-06-2024,CUST2092,Lucas Green,West,Mumbai,Dairy,Butter,462,9,0.02,87.33,Wallet,No,3
20094,04-06-2024,CUST2093,Liam Harris,South,Bengaluru,Vegetables,Carrots,1836,19,0.15,177.17,Card,Yes,4
20095,04-06-2024,CUST2094,Mason Lewis,West,Mumbai,Beverages,Water,85,15,0.13,-1.46,Cash,Yes,3
20096,04-06-2024,CUST2095,David Kim,North,Lucknow,Beverages,Tea,1519,16,0.12,207.53,Card,No,4
20097,05-06-2024,CUST2096,Charlotte Adams,West,Mumbai,Fruits,Oranges,153,13,0.04,23.55,Card,Yes,4
20098,05-06-2024,CUST2097,Isabella Taylor,East,Patna,Vegetables,Carrots,321,14,0,48.72,Cash,Yes,4
20099,05-06-2024,CUST2098,Michael Lee,South,Bengaluru,Dairy,Butter,539,13,0.04,-24.67,Wallet,No,5
20100,05-06-2024,CUST2099,Charlotte Adams,South,Hyderabad,Dairy,Paneer,1752,6,0.1,58.95,UPI,No,5
20101,05-06-2024,CUST2100,Mia Walker,East,Patna,Vegetables,Spinach,859,19,0.11,175.41,UPI,Yes,5
20102,05-06-2024,CUST2101,Charlotte Adams,South,Bengaluru,Snacks,Biscuits,401,12,0.11,86.13,UPI,No,4
20103,05-06-2024,CUST2102,Mason Lewis,West,Pune,Bakery,Bread,1361,6,0.12,287.52,Wallet,No,5
20104,05-06-2024,CUST2103,David Kim,West,Ahmedabad,Dairy,Yogurt,1467,11,0.19,-33.27,UPI,No,4
20105,05-06-2024,CUST2104,Charlotte Adams,South,Chennai,Dairy,Butter,1976,19,0.08,99.65,Card,Yes,2
20106,05-06-2024,CUST2105,James White,East,Patna,Bakery,Bread,1703,4,0,374.89,Wallet,No,5
20107,05-06-2024,CUST2106,Olivia Martinez,West,Mumbai,Bakery,Cake,486,6,0.13,-15.12,Card,Yes,4
20108,05-06-2024,CUST2107,Amelia Scott,South,Chennai,Bakery,Bread,1391,2,0.1,265.92,Wallet,Yes,3
20109,05-06-2024,CUST2108,James White,North,Lucknow,Dairy,Yogurt,810,12,0.2,-39.22,Cash,Yes,5
20110,05-06-2024,CUST2109,Sophia Johnson,West,Ahmedabad,Snacks,Chips,1153,16,0.05,107.43,UPI,No,5
20111,05-06-2024,CUST2110,Sophia Johnson,North,Delhi,Bakery,Donuts,109,4,0,5.15,UPI,Yes,5
20112,05-06-2024,CUST2111,Charlotte Adams,North,Delhi,Beverages,Water,864,8,0.15,42.24,Cash,Yes,5
20113,05-06-2024,CUST2112,Lucas Green,West,Mumbai,Snacks,Nuts,1205,6,0.18,116.19,Cash,Yes,2
20114,05-06-2024,CUST2113,David Kim,West,Ahmedabad,Bakery,Pastry,1671,2,0.13,27.97,Cash,Yes,3
20115,05-06-2024,CUST2114,Emma Davis,North,Chandigarh,Dairy,Milk,1833,2,0.19,118.48,UPI,No,4
20116,05-06-2024,CUST2115,Mason Lewis,South,Bengaluru,Vegetables,Carrots,1450,20,0.11,347.34,Cash,Yes,2
20117,05-06-2024,CUST2116,Benjamin Evans,West,Mumbai,Dairy,Paneer,1986,4,0.1,394.25,Cash,Yes,3
20118,05-06-2024,CUST2117,John Smith,North,Lucknow,Bakery,Donuts,1058,11,0.05,-46.83,UPI,Yes,5
20119,05-06-2024,CUST2118,Noah Young,North,Lucknow,Fruits,Bananas,731,5,0.15,79.52,Card,Yes,2
20120,05-06-2024,CUST2119,Benjamin Evans,East,Patna,Beverages,Soft Drink,1451,20,0.18,16.59,Wallet,Yes,4
20121,06-06-2024,CUST2120,Mia Walker,East,Kolkata,Beverages,Tea,671,3,0.1,128.97,Cash,Yes,3
20122,06-06-2024,CUST2121,Lucas Green,North,Lucknow,Beverages,Soft Drink,706,10,0.13,154.11,Card,No,2
20123,06-06-2024,CUST2122,Emma Davis,North,Chandigarh,Bakery,Pastry,1234,7,0.01,25.69,Cash,No,5
20124,06-06-2024,CUST2123,Emma Davis,North,Delhi,Beverages,Soft Drink,1391,14,0.04,6.65,Card,Yes,5
20125,06-06-2024,CUST2124,Ethan Hall,West,Pune,Beverages,Juice,944,9,0.17,107.18,UPI,No,5
20126,06-06-2024,CUST2125,Liam Harris,East,Bhubaneswar,Beverages,Coffee,775,4,0.03,109.81,Wallet,No,4
20127,06-06-2024,CUST2126,Charlotte Adams,West,Pune,Dairy,Cheese,127,5,0.12,19.94,Cash,No,3
20128,06-06-2024,CUST2127,Alice Brown,West,Pune,Snacks,Popcorn,497,15,0.19,-14.21,Card,Yes,2
20129,06-06-2024,CUST2128,Alice Brown,East,Kolkata,Bakery,Cake,993,5,0.01,-6.87,UPI,No,5
20130,06-06-2024,CUST2129,Alice Brown,South,Bengaluru,Vegetables,Onions,507,13,0.11,96.33,Cash,No,4
20131,06-06-2024,CUST2130,John Smith,West,Mumbai,Fruits,Grapes,1772,18,0.17,373.63,UPI,Yes,4
20132,06-06-2024,CUST2131,Amelia Scott,West,Ahmedabad,Beverages,Tea,1447,5,0.15,35.87,Cash,No,5
20133,06-06-2024,CUST2132,Emma Davis,East,Patna,Dairy,Paneer,756,17,0.15,105.27,Wallet,No,5
20134,06-06-2024,CUST2133,Mia Walker,West,Pune,Bakery,Bread,213,1,0.01,-3,Wallet,Yes,5
20135,06-06-2024,CUST2134,Lucas Green,West,Mumbai,Fruits,Mangoes,279,13,0.07,24.9,Wallet,No,2
20136,06-06-2024,CUST2135,James White,West,Ahmedabad,Bakery,Donuts,1902,10,0.13,413.16,Cash,No,5
20137,06-06-2024,CUST2136,Daniel Wilson,South,Chennai,Bakery,Cake,815,15,0.1,50.58,Cash,No,4
20138,06-06-2024,CUST2137,Noah Young,North,Chandigarh,Fruits,Oranges,1076,16,0.02,224.58,Card,No,3
20139,06-06-2024,CUST2138,Emma Davis,South,Hyderabad,Snacks,Biscuits,680,13,0.01,149.4,Wallet,Yes,5
20140,06-06-2024,CUST2139,Olivia Martinez,South,Chennai,Beverages,Soft Drink,830,19,0.09,-8.28,Cash,No,1
20141,06-06-2024,CUST2140,Noah Young,South,Bengaluru,Beverages,Water,1532,9,0.08,351.14,Cash,Yes,1
20142,06-06-2024,CUST2141,Ethan Hall,South,Hyderabad,Bakery,Cookies,90,17,0.14,20.7,Wallet,Yes,5
20143,06-06-2024,CUST2142,Daniel Wilson,North,Delhi,Vegetables,Potatoes,389,1,0.14,2.93,Card,Yes,4
20144,06-06-2024,CUST2143,Lucas Green,North,Lucknow,Vegetables,Onions,382,19,0.07,48.49,Cash,Yes,5
20145,07-06-2024,CUST2144,Olivia Martinez,North,Chandigarh,Beverages,Tea,611,12,0.1,50.7,Card,Yes,5
20146,07-06-2024,CUST2145,Mason Lewis,East,Patna,Bakery,Pastry,1898,3,0.1,-85.75,Wallet,Yes,5
20147,07-06-2024,CUST2146,Alice Brown,East,Bhubaneswar,Bakery,Donuts,1613,1,0.19,402.89,Wallet,No,4
20148,07-06-2024,CUST2147,Lucas Green,North,Chandigarh,Fruits,Mangoes,1954,19,0.18,464.08,Card,No,4
20149,07-06-2024,CUST2148,Mason Lewis,South,Chennai,Snacks,Nuts,1654,16,0.11,237.71,Card,No,5
20150,07-06-2024,CUST2149,Mason Lewis,West,Mumbai,Beverages,Tea,1468,17,0.18,173.59,Card,No,5
20151,07-06-2024,CUST2150,James White,East,Patna,Beverages,Juice,1150,12,0.09,211.01,Cash,Yes,2
20152,07-06-2024,CUST2151,Michael Lee,South,Hyderabad,Bakery,Cookies,493,5,0.2,90.64,Cash,Yes,5
20153,07-06-2024,CUST2152,Olivia Martinez,East,Bhubaneswar,Snacks,Biscuits,1123,20,0.06,217.31,Wallet,No,5
20154,07-06-2024,CUST2153,Charlotte Adams,North,Delhi,Snacks,Biscuits,1353,12,0.12,263.36,UPI,No,4
20155,07-06-2024,CUST2154,Emma Davis,North,Delhi,Dairy,Butter,1818,17,0.17,237.01,UPI,No,1
20156,07-06-2024,CUST2155,Lucas Green,East,Bhubaneswar,Bakery,Donuts,1371,12,0.13,26.7,Wallet,No,5
20157,07-06-2024,CUST2156,John Smith,West,Pune,Bakery,Cake,1113,18,0.02,198.26,Wallet,No,4
20158,07-06-2024,CUST2157,Benjamin Evans,North,Delhi,Beverages,Juice,1356,14,0.11,314.39,Card,Yes,3
20159,07-06-2024,CUST2158,Benjamin Evans,West,Ahmedabad,Bakery,Cake,650,19,0.12,126.1,Wallet,No,5
20160,07-06-2024,CUST2159,John Smith,East,Bhubaneswar,Fruits,Apples,1300,10,0.19,75.99,Wallet,No,3
20161,07-06-2024,CUST2160,Ethan Hall,West,Ahmedabad,Beverages,Coffee,694,6,0.04,-30.82,UPI,Yes,5
20162,07-06-2024,CUST2161,Mia Walker,South,Chennai,Dairy,Paneer,1896,10,0.1,249.99,Cash,No,4
20163,07-06-2024,CUST2162,Olivia Martinez,West,Pune,Dairy,Paneer,715,9,0.07,54.36,Cash,Yes,4
20164,07-06-2024,CUST2163,Benjamin Evans,South,Hyderabad,Beverages,Juice,1838,12,0.16,104.71,Wallet,No,4
20165,07-06-2024,CUST2164,Sophia Johnson,South,Chennai,Vegetables,Potatoes,177,15,0.05,16.95,Wallet,Yes,5
20166,07-06-2024,CUST2165,Charlotte Adams,South,Bengaluru,Bakery,Pastry,140,5,0.11,-6.89,UPI,Yes,3
20167,07-06-2024,CUST2166,John Smith,South,Bengaluru,Bakery,Pastry,1531,2,0.06,-12.62,Card,No,5
20168,07-06-2024,CUST2167,Mia Walker,North,Delhi,Snacks,Nuts,1111,18,0.15,134.1,UPI,Yes,5
20169,08-06-2024,CUST2168,James White,West,Mumbai,Vegetables,Onions,1626,2,0.03,66.35,Cash,Yes,5
20170,08-06-2024,CUST2169,Emma Davis,East,Patna,Dairy,Yogurt,83,16,0.18,18.67,UPI,Yes,4
20171,08-06-2024,CUST2170,Alice Brown,North,Chandigarh,Beverages,Soft Drink,1743,18,0.01,293.86,Wallet,Yes,4
20172,08-06-2024,CUST2171,Sophia Johnson,South,Bengaluru,Beverages,Soft Drink,944,9,0.14,209.26,Wallet,No,5
20173,08-06-2024,CUST2172,James White,West,Mumbai,Dairy,Yogurt,1896,8,0.16,341.61,UPI,Yes,4
20174,08-06-2024,CUST2173,Ava Clark,North,Delhi,Vegetables,Tomatoes,1455,1,0.04,39.48,Cash,No,5
20175,08-06-2024,CUST2174,Noah Young,North,Lucknow,Fruits,Mangoes,70,16,0.19,12.42,Cash,No,4
20176,08-06-2024,CUST2175,Charlotte Adams,West,Ahmedabad,Beverages,Tea,1100,2,0.01,78.9,Wallet,No,5
20177,08-06-2024,CUST2176,Isabella Taylor,East,Patna,Bakery,Donuts,1423,5,0.04,317.64,UPI,No,4
20178,08-06-2024,CUST2177,Liam Harris,North,Lucknow,Beverages,Juice,411,9,0.08,35.83,Wallet,No,5
20179,08-06-2024,CUST2178,James White,North,Delhi,Dairy,Yogurt,1567,8,0.16,196.05,Wallet,Yes,2
20180,08-06-2024,CUST2179,Sophia Johnson,South,Chennai,Vegetables,Spinach,1215,11,0.08,36.72,UPI,Yes,5
20181,08-06-2024,CUST2180,Alice Brown,West,Pune,Vegetables,Tomatoes,793,20,0.14,25.27,Card,No,5
20182,08-06-2024,CUST2181,Lucas Green,West,Pune,Snacks,Biscuits,1531,5,0.05,-61.05,UPI,Yes,5
20183,08-06-2024,CUST2182,David Kim,North,Chandigarh,Beverages,Soft Drink,1568,20,0.1,132.44,Wallet,No,2
20184,08-06-2024,CUST2183,Emma Davis,East,Kolkata,Beverages,Soft Drink,537,3,0.1,93.27,UPI,Yes,2
20185,08-06-2024,CUST2184,Michael Lee,South,Hyderabad,Bakery,Donuts,1269,3,0.11,-26.2,Card,Yes,5
20186,08-06-2024,CUST2185,Mia Walker,North,Chandigarh,Beverages,Tea,1449,3,0.08,-51.31,Wallet,No,4
20187,08-06-2024,CUST2186,Sophia Johnson,South,Hyderabad,Beverages,Soft Drink,178,1,0.09,17.84,Cash,Yes,3
20188,08-06-2024,CUST2187,Michael Lee,East,Patna,Fruits,Grapes,657,3,0.06,134.14,Wallet,No,4
20189,08-06-2024,CUST2188,Ava Clark,North,Lucknow,Fruits,Bananas,707,14,0.09,13.58,Cash,Yes,4
20190,08-06-2024,CUST2189,Olivia Martinez,West,Mumbai,Bakery,Pastry,1323,3,0.13,233.23,UPI,Yes,5
20191,08-06-2024,CUST2190,Mason Lewis,South,Hyderabad,Vegetables,Spinach,626,10,0.05,63.56,UPI,No,5
20192,08-06-2024,CUST2191,Olivia Martinez,South,Bengaluru,Vegetables,Onions,904,20,0.03,163.67,Cash,Yes,2
20193,09-06-2024,CUST2192,John Smith,East,Bhubaneswar,Beverages,Soft Drink,1552,8,0.07,-75.82,Cash,Yes,2
20194,09-06-2024,CUST2193,Amelia Scott,East,Kolkata,Dairy,Milk,1972,9,0.01,137.62,Wallet,No,4
20195,09-06-2024,CUST2194,Amelia Scott,West,Ahmedabad,Fruits,Grapes,494,12,0.15,89.77,Cash,No,5
20196,09-06-2024,CUST2195,Ethan Hall,West,Pune,Vegetables,Spinach,604,13,0.12,58.68,Wallet,Yes,5
20197,09-06-2024,CUST2196,Ethan Hall,East,Patna,Beverages,Coffee,1061,17,0.12,-51.18,Cash,Yes,3
20198,09-06-2024,CUST2197,Alice Brown,South,Bengaluru,Dairy,Paneer,1449,10,0.05,321.87,UPI,Yes,2
20199,09-06-2024,CUST2198,Michael Lee,North,Lucknow,Beverages,Water,474,11,0.12,19.3,Wallet,No,2
20200,09-06-2024,CUST2199,Olivia Martinez,East,Bhubaneswar,Dairy,Milk,326,9,0.02,7.18,Wallet,Yes,3
20201,09-06-2024,CUST2200,Mia Walker,South,Chennai,Vegetables,Potatoes,127,15,0.1,23.66,Card,Yes,4
20202,09-06-2024,CUST2201,Lucas Green,East,Patna,Snacks,Chips,175,3,0.19,15.25,Wallet,Yes,5
20203,09-06-2024,CUST2202,Olivia Martinez,East,Bhubaneswar,Snacks,Biscuits,1763,18,0.18,134.36,UPI,Yes,5
20204,09-06-2024,CUST2203,Benjamin Evans,South,Hyderabad,Bakery,Pastry,712,3,0.15,-17.15,UPI,Yes,2
20205,09-06-2024,CUST2204,David Kim,South,Hyderabad,Dairy,Cheese,1794,11,0.12,163.92,Card,No,4
20206,09-06-2024,CUST2205,Mason Lewis,North,Chandigarh,Snacks,Chips,1588,9,0.05,277,Card,No,5
20207,09-06-2024,CUST2206,Ethan Hall,West,Pune,Bakery,Bread,1584,14,0.02,166.11,Cash,Yes,5
20208,09-06-2024,CUST2207,Olivia Martinez,South,Hyderabad,Snacks,Popcorn,454,3,0.18,61.1,UPI,Yes,4
20209,09-06-2024,CUST2208,James White,West,Pune,Dairy,Yogurt,74,7,0.15,8.74,UPI,No,5
20210,09-06-2024,CUST2209,Michael Lee,West,Ahmedabad,Dairy,Yogurt,860,19,0.06,103.39,Card,No,5
20211,09-06-2024,CUST2210,Emma Davis,West,Ahmedabad,Dairy,Paneer,895,11,0.07,44.41,Card,No,4
20212,09-06-2024,CUST2211,Michael Lee,West,Ahmedabad,Vegetables,Carrots,1294,15,0.05,315.22,UPI,No,4
20213,09-06-2024,CUST2212,Alice Brown,North,Chandigarh,Snacks,Biscuits,1067,8,0.16,76.63,UPI,Yes,4
20214,09-06-2024,CUST2213,Sophia Johnson,West,Pune,Fruits,Apples,1221,14,0.15,-32.58,UPI,No,5
20215,09-06-2024,CUST2214,Noah Young,East,Patna,Vegetables,Carrots,1874,17,0.18,-8.34,UPI,Yes,3
20216,09-06-2024,CUST2215,Daniel Wilson,North,Delhi,Snacks,Popcorn,1339,9,0.01,247.26,Cash,No,5
20217,10-06-2024,CUST2216,Michael Lee,East,Patna,Snacks,Biscuits,1185,11,0.1,279.17,Cash,No,5
20218,10-06-2024,CUST2217,Emma Davis,South,Chennai,Snacks,Chips,1638,4,0.06,69.89,Card,Yes,3
20219,10-06-2024,CUST2218,Michael Lee,West,Ahmedabad,Beverages,Tea,961,16,0.03,159.69,Card,Yes,4
